'묻지마 돈랠리'... 코스피 2400도 뚫었다
[표]코스닥 기관·외국인·개인 순매수·도 상위종목(8월 11일-최종치)
[표]유가증권 기관·외국인·개인 순매수·도 상위종목(8월 11일-최종치)
"""코스피 2500 넘어선다… IT·바이오·2차전지에 베팅하라""  [코스피 2400선도 돌파]"
"LG 2분기 영업익 3,593억···한온시스템 578억 영업손실"
[표]IPO·장외주요 종목 시세(8월 11일)
[표]코스닥 기관·외국인·개인 순매수·도 상위종목(8월 11일)
[표]유가증권 기관·외국인·개인 순매수·도 상위종목(8월 11일)
"한화그룹, 수해 복구 지원 성금 10억원 기탁"
"외국인, 재미없다는 한국 은행주 왜 사나…기관도 가세"
"웹젠, ‘그라나도에스파다’ PC방 서비스 제공"
역대급 장마에 폐기물주 `好好`…유통주는 울쌍
'2차전지' 관련주 엮였다 하면 上·上·上
"엔케이맥스, 알츠하이머 치료로 파이프라인 확대"
실적 나빠도 주가 오르는 효성첨단소재…비결은 '수소차 기대'
"상승세 타던 동화약품, 장 막판 30% 급락"
"필룩스그룹, 집중호우 피해 복구에 1억원 기부"
"제일약품, 경구용 당뇨병 신약 `JP-2266` 9월 유럽 임상 1상 돌입"
"제일약품, 인슐린 대체 당뇨병 신약후보물질 유럽 임상 1상 승인"
"매출 2,000% 폭증했는데...수젠텍 주가는 왜 고꾸라졌나"
파라다이스 2Q 영업손실 445억원…적자 전환
"프로스테믹스, 엑소좀 마이크로RNA 활용 항암물질 원천특허 확보"
"코디, 바이오화장품 ODM 사업 본격 추진"
"인트론바이오, 코로나19 진단키트 베트남 품목 등록"
"[컨콜 종합] 게임빌, 자체 실적도 흑자전환…신작 매년 3종 출시"
"[특징주]LG화학, 52주 신고가 경신"
"[특징주] LG생건, 외인 몰리며 52주 신고가···장중 160만원 돌파"
"에스디생명공학, 마스크 공장 설립·수출 본격 추진"
"개미의 진화, 코스피를 들어올린다…2400 돌파"
"[컨콜 종합] 컴투스, 역대 최대 분기 매출…믿을맨 ‘서머너즈워’ 3분기도 달린다"
"메디프론, 세계 최초 알츠하이머병 치료제 수혜 기대감 '급등'"
"판타지오, 이사진 재편 불발…경영권 분쟁 점입가경"
"[특징주]삼성바이오, 1조7400억원 공장 신설에 상승세"
"[특징주] 종근당, '부시라민' 코로나19 美3상 승인 약물 재창출 기대감↑"
"`이제는 숫자의 시간` 코로나 진단키트주, 기대치 너무 높았나"
"인트론바이오, 코로나19 진단키트 베트남 품목등록"
"팬젠, 살인진드기병 치료항체 생산용 세포주·공정 개발 완료"
"LG생활건강, 외국인 매수에 9%대 급등…장중 160만원 돌파"
"윤석헌 금감원장, 부동산 시장 자금 쏠림 우려.. ""위반 적발시 엄중 조치"""
"""일본 주요 상장기업 올해 순이익 36％ 감소 전망"""
"김태한 삼성바이오로직스 사장 ""1.7조 들여 26만ℓ 규모 4공장 신설"""
"K-영화에 숨통트인 CJ CGV, '테넷'으로 살아날까"
"우진비앤지, 이리도 바이러스 예방백신 국립수산과학원 임상시험 설계 최종 승인"
"팬젠, 중증열성 혈소판감소증후군 치료 항체 생산용 세포주 및 공정 개발 완료"
"[특징주] LG생활건강, 52주 신고가…장중 160만원 '터치'"
"키움증권, 주식옮기기 이벤트…현금 최대 115만원 지급"
"삼성증권, '미스터 해외주식' 시리즈 시작"
"한국투자증권, ‘2020 뱅키스 CMA 챌린지’ 이벤트"
"휴온스, 비듬·지루피부염 치료제 니조랄 국내 독점 판매"
[특징주]증권株 강세... 신영증권 9% 급등
"[특징주]한전, 말레이시아 3.5조 전력 공급계약 체결에 강세"
"LG전자, 사계절 쓰는 프리미엄 천장형 선풍기 `LG 실링팬` 출시"
"[마켓인]압타머사이언스, 증권신고서 제출…9월 코스닥 상장"
"[특징주]메드팩토, 백토서팁 치료 효과 예측 결과 공개 기대 강세"
"팬젠, 중증열성 혈소판감소증후군 치료용 항체 생산용 세포주 및 공정 개발"
"리서치알음 “신세계푸드, 노브랜드버거 등 외식업 호조…3분기 턴어라운드 전망”"
"[특징주]한국바이오젠, 2차전지 3社 100조 시대…2차전지 숨은 밸류체인 선점"
"[특징주] 에스티큐브, 삼성바이오로직스 송도 4공장 신설…위탁개발 제휴 부각↑"
"컴투스 2분기 영업익 작년보다 17.8%↑…""글로벌 안착 성공""(종합)"
"하이투자증권, 기부 연계 ‘하이 대구사랑 랩’ 2종 출시"
"미래에셋 ‘TIGER 2차전지테마 ETF’, 순자산 2000억원 돌파"
"게임빌, 2Q 영업익 108억 ‘전기比 73.6%↑’…“자체 실적도 흑자전환”"
[특징주]어닝 서프라이즈 코오롱글로벌 장중 강세
"[특징주]알루코, 폭스바겐 등에 배터리 팩 하우징 공급 소식에 상한가"
"유안타증권, 해외주식 ELS 등 파생결합증권 4종 공모"
"선데이토즈, 6년만 반기 매출 500억 넘겼다…전년 比 영업익 2배 ↑"
"압타바이오 ""APX-115, 코로나19 치료 효과 자신"""
"[특징주] 코스피 장중 2,400선 돌파···증권주 강세"
"[특징주] 알루코, 폭스바겐 등에 전기차 핵심부품 공급 소식에 이틀째 상한가"
"압타머사이언스, 내달 코스닥시장 상장 예정…증권신고서 제출"
"[특징주]일신바이오, 삼성의 자신감…단일 규모 최대 바이오시밀러 설비 투자"
한반도 휩쓰는 장마에…폐기물株 상승세
[특징주] 증시 상승세에 증권주 강세…52주 신고가 ‘속출’
"[특징주] 코오롱글로벌, 2분기 어닝서프라이즈에 강세"
"[fn오전시황]코스피, 2년2개월만에 2400 돌파"
"[특징주] 코렌, 대규모 유증 결정에 급락"
"[공시]삼성바이오로직스, 인천 송도에 4공장 신설..1.74조 투자"
"[특징주]코오롱글로벌, 2·4분기 호실적에 상승세"
"컴투스, 서머너즈워 6주년 파워…역대 최대 분기 매출 ‘1475억’"
"네오위즈, 2Q 영업익 178억원·전년 比 93%↑…하반기 해외 성과↑"
"[특징주] 삼성바이오로직스, 인천 송도 추가 공장 신설 소식에 상승세"
"""어닝서프라이즈 코오롱글로벌, 풍부한 수주잔고로 성장세 지속···목표가↑"""
"소유·경영 분리한 웹젠, 성과 지속 ‘눈길’"
"""메리츠증권, 어닝서프라이즈 시현···목표가↑"""
"롯데쇼핑, 2분기 코로나 ‘어닝 쇼크’에 목표가↓-현대차"
"애경산업, 화장품 적자로 불확실성 심화…목표가↓-KTB"
"지누스, 코로나19 직접적 수혜주…사흘째 상승"
"압타바이오 ""美 하버드대 엔도솜 타깃 코로나19 확산 저지…APX-115 복합치료 우수"""
"[특징주] 코오롱글로벌, 2분기 호실적에 급등"
"압타바이오, ‘APX-115’ 코로나19 치료 효과 자신"
"알루코, 폭스바겐 등에 전기차 부품 공급…이틀째 上"
"[특징주] 삼성바이오로직스, 1조7,400억 규모 4공장 신설 소식에 ‘강세’"
"[특징주] 피씨엘, 의료기기 공급계약 체결 소식에 강세"
"삼성바이오로직스, 2023년까지 1.7조 들여 25만ℓ 규모 4공장 신설키로"
"""메리츠증권, 수익다변화 노력 실적으로 확인-교보증권"
"지누스, 글로벌 집콕 트렌드 확산에 실적 'UP''"
"현대리바트, SWC 효과 내년 본격화 '매수'-한화투자증권"
"그린플러스, 온실시스템·장어양식 모두 잘 나간다-신한금투"
"""한화시스템, 신사업 매출 성장···목표가↑"""
"[Hot-Line] ""F&F, 중국사업 전개로 하반기 실적 돋보일 것"""
"[Hot-Line] ""GKL, 코로나 정상화되도 대규모 외인 카지노 공급 부정적"""
"[Hot-Line] ""코웨이, 해외 사업 수익화 기대…목표가↑"""
"[Hot-Line] ""세아베스틸, 완만한 회복세 지속 및 저평가 매력적""…목표가↑"
"[Hot-Line] ""삼천당제약, 더 좋은 파트너 물색 및 신규 사업 긍정적"""
"현대리바트, 코로나 반사이익·부동산 공급 대책에 목표가↑-신영"
"애경산업, 생활용품 '견조'에도 화장품 회복 필요…목표가↓-현대차"
"웅진씽크빅, 하반기 주력사업 통한 실적 개선 전망-현대차"
"현대그린푸드, 자회사 리바트 코로나19 수혜 '매수'-신영증권"
"한화시스템, TICN 3차 양산 반영에 최대 실적 기대..목표가↑-IBK투자증권"
[국제유가]수요개선 기대에 상승...WTI 1.8%↑
"한화시스템, 오늘보다 내일..목표가↑-대신"
[뉴욕증시]부양책 주시 속 혼조...다우 1.31% 상승
"인크로스, 코로나 속 '티딜' 성장세 주목-KB증권"
"""대우조선해양, 우호적 환율로 선박 발주 기대감 높아져""-하나금융투자"
"GKL, 현대 부진 충분히 반영한 주가-메리츠증권"
"케어랩스, 상반기 영업익 38억원...지난해 수익 상회"""
"삼성생명 급등, 계열사 지분가치 반영된 것으로 분석-KB"
"지누스, 호주 등 고성장 힘입어 2·4분기 실적 기대치 상회-NH"
"[Hot-Line] ""윈스, 디지털 뉴딜 수혜…실적 성장 지속 전망"""
"[Hot-Line] ""NHN한국사이버결제, 해외 가맹점 비중 증가""…목표가↑"
"SCM생명과학, 경쟁사 대비 저평가…첨생법 수혜 기대-한국"
"덴티움, 2분기 실적 부진… 하반기 수익 개선 기대"
"한화시스템, 성장을 위한 투자중…목표가↑-신한"
"윈스, 디지털 뉴딜 수혜 '보안 솔루션'에 주목-KTB"
세아베스틸 4분기 실적 기대 목표가↑-하이
"[클릭 e종목]""지누스, 코로나19 수혜...하반기 실적 기대감 ↑"""
"F&F, 해외 입국 감소로 국내 면세 부진…목표가↓-한국"
"[Hot-Line] ""인크로스, 광고물량 회복으로 본업 성장 지속"""
"세아베스틸, 코로나에도 4분기 만에 흑자전환…목표가↑-키움"
"[공시+] 코렌, 베트남 공장 증설… 180억 규모 투자 유치"
"덴티움, 하반기 실적 점진적 개선-NH"
"애경산업, 화장품 사업 부진 심화…목표가↓-유안타"
"롯데쇼핑 목표가 8% 하향, 상승반전 모멘텀 부족-현대차證"
"메리츠증권, 트레이딩 수익이 이끈 어닝 서프-삼성"
"대우해양조선, 약달러 호재 하반기 실적 기대↑-하나"
"F&F, 2분기 실적 부진…중국인 관광객 회복 기대-신한"
"나스미디어, 광고업황 저점 통과…신사업이 관건-신한"
"GKL, 외국인 출입국 제한에 적자…목표가↓-삼성"
"[클릭 e종목]""NHN한국사이버결제, 온라인시장 확대 수혜"""
"삼천당제약, 안과 의약품 및 신사업 추진 긍정적…'매수' -케이프"
"지누스, 코로나에도 2Q 호실적…하반기 성장 기대감↑-NH"
"F&F, 면세 일시 부진…하반기 中 온·오프 수요 확대 기대 -DB"
"메드팩토 ""11월 세계 첫 사람 대상 TGF-베타 바이오마커 유효성 발표"""
주가 400% 급등한 장갑회사 뒤에 이 기업 있었다
시총 100조 넘은 2차 전지 3社…“LG화학 90만원대 간다”
"F&F, 중국 매출 확대…업계 최선호주-메리츠증권"
"NHN한국사이버결제, 흠잡을 데 없는 2020년…목표가↑-하나"
"현대리바트, 매출 성장·원가 개선 지속…목표가↑-신영"
"세아베스틸, 3분기부터 실적회복 전망-한국투자證"
"지누스, 매 분기 강한 성장성-이베스트증권"
"메리츠증권, 개선된 자본적정성·줄어든 성장동력-유안타證"
"[기업공시 8월 10일]디이엔티, LG화학 中 자회사에 89억 규모 2차전지 장비 공급 등"
[표]코스닥 기관·외국인·개인 순매수·도 상위종목(8월 12일-최종치)
[표]유가증권 기관·외국인·개인 순매수·도 상위종목(8월 12일)
"'코로나 집콕' 게임 웃고, 화장품 울고"
백신 소식에...여행주 5개월새 최대폭 급등
"바이오냐 배터리냐...삼바·LG화학 ""100만원 내가 먼저 터치"""
경동나비엔 영업익 전년比 82%↑
실적 기대가 실망으로...진단키트株 급락주의보
"전기·수소車 질주… 현대차, 이달에만 시총 10兆 늘었다"
SK바이오팜 효과… 지난달 IPO 시장 사상최대 자금 몰려
"미래에셋운용, 강남 플래티넘타워 재매각 추진"
"제이준 이진형 창업자, 대표 복귀"
장마에 웃고 울고… 4대강 복원주 등 투자주의보
"[fn마켓워치] 삼본전자, 온라인 게임사 하루엔터테인먼트 인수"
"KCGI, 한진칼 공개매수 성공…신주인수권증권 120만주 확보"
장 마감 후 기업공시[8월12일]
"디티앤씨 자회사 디티앤인베스트먼트, 중기부 ‘팁스’ 신규 운영사 선정"
"[공시] 한국토지신탁, 2분기 영업익 116억원…전년比 71.6% 감소"
군인공제회도 국내주식 EMP 투자 나선다 [마켓워치]
"""바이든 백악관 입성해도 美증시 영향 적을 것"""
"신한금투, ‘소비자 보호 오피서’ 제도 시행"
"현대리바트, 집 꾸미기 열풍에 실적 `탄탄`"
"[컨콜 종합] 넷마블, 2Q 호실적…하반기 신작 출시 ‘본격화’"
[M&A 매물장터] IoT 관련 제품 제조기업 150억에 팝니다
"'마켓컬리 대항마' 오아시스, IPO 착수"
'만년 가치株' 삼성물산 모처럼 뜀박질
'기력' 되찾은 고위험 회사채…코로나 이전 가격 속속 회복
"씨에스윈드, 해상 풍력 타고 '두둥실'"
여행 재개 기대에…모두투어·호텔신라 '꿈틀'
면세점 매출도 회복되나…화장품주 '화색'
역대급 장마에 4대강 등 관련주 들썩…비 그치자 '울상'
"한라홀딩스, 렌카와 손잡고 렌터카 전용 블랙박스 출시"
"[종합] 넷마블, 2분기 영업익 146.1%↑…신작효과로 `깜짝실적`"
"백신에 기력 차렸지만…여행株, 날아가려면 멀었다"
'삼성'→'LG' 쇼핑 종목 늘리는 외국인
"‘리니지2M’, 16일 첫 공성전…매출 1위 놓고 ‘형제의난’ 예고"
장 중 기업공시[8월12일]
오늘의 증시 메모[8월 13일]
"SCM생명과학, 미 바이오 벤처 PBS바이오텍과 줄기세포치료제 대량 생산 나서"
"미투온, 2Q 영업익 133억원…전년비 39.2%↑"
"ESG채권 발행나선 롯데지주, 지주사론 처음…500억 조달"
"컴투스, ‘드래곤스카이’ 일본 서비스 돌입"
NHN 신작 ‘용비불패M’ 사전예약 돌입…정식 서비스 본격화
[표]IPO·장외 주요 종목 시세(8월 12일)
"넷마블, 2Q 영업익 817억 ‘전년比 146%↑’…1분기 신작 ‘주효’"
"플레이위드, 2Q 매출 127억·영업익 44억"
"[컨콜 종합] 위메이드, 준비는 끝났다…3분기부터 실적 개선 ‘기대’"
'만년 가치주' 삼성물산…3대 호재 업고 순항할까
"미투온 2Q 분기 최대 영업익 133억, 전년比 39% 증가"
[표]코스닥 기관·외국인·개인 순매수·도 상위종목(8월 12일)
[표]유가증권 기관·외국인·개인 순매수·도 상위종목(8월 12일)
"증권사들, '4공장 기대' 삼성바이오 목표가 ""100만원""(종합)"
"코스피, 8거래일 연속 상승 마감…2,430선 돌파"
"빅히트 증시 입성에 엔터주, 가파른 `V자 반등`"
"[공시+] 에스트래픽, 미국 역무자동화설비 구축 사업 추가 수주"
코로나19에 `빵` 터진 랩지노믹스…2분기 영업이익 전년比 2만%↑
"한국투자증권·키움증권, 파생 모의거래시스템 인증 획득"
"[공시] 와이지엔터, 2분기 영업익 18억원 …전년比 10.6% 감소"
"[공시] 넷마블, 2분기 영업익 817억원 …전년比 146.1% 증가"
'그린 뉴딜' 해상풍력 바람 타고…저점 대비 334% 급등한 씨에스윈드
여행 재개 기대에 모처럼 웃는 화장품주
"미래에셋그룹, 사회복지공동모금회 등에 20억원 기부"
[특징주]오스템임플란트 2분기 영업익 200% 성장에 6% 강세
"에스트래픽, 워싱턴 D.C. 역무자동화설비 구축 사업 확대"
"상지카일룸, 인테리어 신사업 본격화…""41兆 시장 공략"""
"NH투자증권, 해외주식 기초자산 ELS 등 6종 모집"
"NH투자증권, 해외주식 기초자산 ELS 등 6종 모집"
"CJ대한통운 택배상생위원회, 택배가족 모두에게 `복날세트` 선물"
"HL사이언스, 새싹보리 식약처 사전검사 통과로 안전성 확보"
"SCM생명과학, 美 PBS바이오텍과 줄기세포 대량생산 공정개발"
"러시아 백신에 여행株 급등, 증권가 ""왜 오르지?"" 갸우뚱"
"[특징주]제놀루션, 2분기 영업익 전년比 32배... 강세"
"알엔투테크놀로지, 2분기 영업익 40억원…전년비 143%↑"
테슬라 5대1 주식분할...美직구족 '함박웃음'
"예탁원, 사모펀드 사무관리 업무 재점검…운용사와 계약 해지 협의"
"[공시] 신세계, 2분기 영업손실 431억원"
"HMM, 2분기 영업이익 1387억원…21개 분기만에 흑자전환"
내일 새벽 MSCI 분기 리뷰 발표…씨젠 신규 편입 예상
"상지카일룸, 인테리어 신사업 본격 추진"
"[공시] 경동나비엔, 2분기 영업익 137억원…전년比 82.4% 급증"
"[특징주]제놀루션, 상반기 영업익 전년 198배…코로나19 핵산추출 폭발적 수요"
"알엔투테크놀로지, 2분기 매출액 100억원 육박..분기 기준 사상 최대치"
金 보다 귀한 목재…연일 최고가 경신에 이건산업 `함박웃음`
"에스와이그룹, 아산시 수해복구에 1억원 지원…""지역협력 강화"""
"[주식 초고수는 지금]최다 매수, 최다 매도 모두 ‘씨젠’"
2분기 줄줄이 적자…카지노株 '깊은 한숨'
"세화아이엠씨, 벤텍스와 손잡고 항바이러스 신사업 진출"
[위메이드 컨콜] “미르 중국 IP 사업 협력 ‘속도’”
"한국증권금융 꿈나눔재단, 2020년도 장학증서 수여"
"[특징주]SKC, SKC솔믹스 자회사 편입... 52주 신고가"
"증권사들, '4공장 기대' 삼성바이오 목표가 ""100만원"""
"한빛소프트, 모바일게임 퍼즐오디션 태국 수출 계약 체결"
"네오위즈, 신작 방치형게임 ‘기타소녀’ 한국 출시"
"SCM생명과학, 美 바이오텍과 줄기세포치료제 대량생산…수율 5배 향상"
"제이준코스메틱, 이진형 대표이사로 변경 ”화장품 사업 실적 회복 기대”"
"[공시] 국보, 하현 대표이사 체제로 변경"
"[공시] 한국항공우주, 610억원 규모 KT‧KA-1 수리부속 계약 수주"
"두산重, 폴란드서 2200억 원 규모 폐자원 에너지화 플랜트 수주"
"랩지노믹스, 2Q 영업익312억원... 1만9,383% ↑"
"[공시+] 미투온, 2분기 영업익 133억… “역대 최대 실적 경신”"
"[공시] 씨에스윈드, 308억원 규모 윈드타워 공급"
"LG전자·한국표준과학연구원·KAIST, MOU 체결…""6G 이동통신 개발 선도"""
"한국증권금융 꿈나눔재단, 어려움 겪는 청소년 대상 장학금 지원"
[특징주]러시아 백신 기대감... 여행·항공·영화 등 컨택株 강세
테슬라도 '액면분할' 한다는데…삼성전자·롯데칠성 주가는 어땠을까
"신한금융투자, 상품판매 점검하는 '소비자보호 오피서' 제도 시행"
"셀트리온 ""국내 업체와 함께 개발한 코로나19 진단키트 美시장 출시"""
미래에셋 TIGER미국S&P500 등 美주식 ETF 거래 이벤트 진행
"[특징주]SK디스커버리, SK바이오사이언스 백신 생산 시설 증설 소식에 강세"
"하나금융투자, ‘코로나19 예방 키트’로 언택트 사회공헌"
"NH투자증권, 오이시스마켓 IPO 주관사 선정"
"위메이드, 영업손 33억…하반기 신작 출시 ‘매출 확대’"
[특징주] ERP 전문 기업 영림원소프트랩 상장 첫날 초반 약세
"에스폴리텍, 2분기 영업익 56억원...전년비 20%↑"
"엘티씨, SK와 협력관계 지속…'3D 낸드용 식각재료 양산'"
"[특징주] 영림원소프트랩, 상장 첫날 약세…공모가는 웃돌아"
"[특징주] KG동부제철, 12년 만에 반기 경상이익 흑자 소식에 강세"
"러시아 백신에 주가 오른 종목들, 노랑풍선·모두투어 급등"
"[특징주]영림원소프트랩, 코스닥 상장 첫날 '약세'"
차익실현 매물 나온다…삼성 뺀 시총상위주 '파란불'
"위메이드, 2분기 영업손실 32억원... 적자전환"
"스마젠, 씨드모젠과 코로나백신 임상시료생산 용역계약(상보)"
"[Hot-Line] ""CJ제일제당, 2분기 어닝 서프라이즈…목표가↑"
"CJ제일제당, 2분기 사상 최대 영업이익에 목표가↑-삼성"
"[Hot-Line] ""삼성생명, `삼성생명법` 통과되면 단기 투자매력 증가"""
"[Hot-Line] ""한온시스템, 하반기 영업이익 회복 가능…목표가↑"""
코로나19에도 실적 개선 노력 빛난 게임업계 ‘2Q 순항’
"한화솔루션, 높아진 태양광 가치 적용해야…목표가↑-대신"
"네오위즈, 2Q 실적 시장 전망치 웃돌아…목표가↑-신한"
"[Hot-Line] ""휴젤, 실적 및 허가 모멘텀 기대""…목표가↑"
드디어...삼바 '목표가 100만원' 나왔다
"우양, 상반기 영업익 44억원…전년비 38%↑"
"[특징주] 영림원소프트랩, 코스닥 상장 첫날 약세…공모가는 ‘상회’"
"스마젠, 씨드모젠과 코로나 백신 임상시료 생산 포괄적 용역계약"
"컴투스, 2분기 사상 최대 실적 달성..목표가↑-메리츠증권"
"[공시+] 우양, 상반기 영업익 44억… 전년대비 38%↑"
"KT, 경쟁력 개선으로 투자가치 주목-IBK투자증권"
"CJ제일제당, 전 사업부 영업익이 기대치 상회…목표가 ↑"
"CJ제일제당, 호실적에 하반기도 성장 '목표가↑'-키움증권"
"강원랜드, 2분기 영업손실 1038억원...투자의견↓-신한금융투자"
"네오위즈, 웹보드 규제 완화와 신작 출시 기대감…목표가↑-신한"
"[Hot-Line] ""삼성바이오로직스, 예상보다 큰 4공장 규모""…목표가↑"
"""휴젤, 실적개선·중국 기대감 공존…긍정적 주가 기대"""
"삼성바이오로직스, 4공장 호재…목표가↑-키움"
"[Hot-Line] ""에스폴리텍, 하반기 이익 증가 속도 가속화"""
삼성바이오로직스 新공장 기대↑…목표가 '100만원'-KTB
"""강원랜드, 2분기 적자냈지만 수요 회복 빨라""... 투자의견 ‘매수’"
"네오위즈, 하반기도 상승 여력 충분…목표가↑-NH"
"컴투스, 신작 출시 연기…매출 안정적 유지-키움"
컴투스 '서머너즈워' 효과 최대 실적 목표가↑-KB
"[클릭 e종목]""현대홈쇼핑, 무난했던 2분기...3분기 영업익 29%↑ 전망"""
"네오위즈, 2분기 어닝 서프라이즈에 목표가↑-삼성"
"그린플러스, 장마 수해 복구 및 스마트팜 구축 사업 수혜株 -KTB"
"[Hot-Line] ""컴투스, 신작 출시 지연 아쉬워""…목표가↓"
"네오위즈, 하반기 실적 호조 이어갈 것-NH"
"LG, 3년 만 영업익 성장 예상-NH"
"한샘, 공간을 팝니다…구조적 성장 기대-SK"
"[클릭 e종목]""에스폴리텍, 올해 사상 최대 실적 기대"""
"KT 경쟁력 개선, 소외됐던 분위기 변화 가능성-IBK證"
"한섬, 되살아나는 오프라인 매출-한국투자"
"하나투어, 적자 지속 가능성…투자의견 '중립'-하나금투"
"CJ제일제당, 2Q 실적 서프라이즈…목표가↑-하나"
"CJ제일제당, 2Q 호실적에 하반기도 성장 전망…목표가↑-키움"
"이노션, 제네시스·아이오닉 일감에 3Q 회복 전망-유안타"
"CJ제일제당, 하반기에도 호실적 계속... 목표주가 ↑"
"선데이토즈, '애니팡4' 등 신작 효과로 본격 턴어라운드-유안타"
"[클릭 e종목]""CJ제일제당, 호실적 3분기에도 이어질 것"""
역대 최장 장마에 여름 수혜주 주가도 '흐림'
[장외로 번진 투자열기]코넥스 모범생 코스닥 가서도 ‘펄펄’
"한화솔루션 목표가 29% 상향, 태양광 사업 가치↑- 대신證"
"휴젤, 실적개선과 中 판매허가 기대감…목표가↑-한국투자"
"이노션, 현대·기아차 신작출시로 실적방어 지속-하이證"
"CJ제일제당, 하반기에도 20%대 성장 전망-신한금투"
"'코로나19 쇼크' 강원랜드, 정상화 가능성 높아-메리츠"
"컴투스, 신작출시 연기에도 기다릴수 있는 가격-유안타證"
"LG, 3년 만에 영업이익 성장 예상-NH투자증권"
[유럽증시] 코로나19 백신 기대감에 일제히 강세
[뉴욕증시] 美 경기부양 논의 교착상태에 약세…다우 0.38% 하락
"[기업공시 8월11일]프로스테믹스, 암 치료제 국내 특허취득 등"
"미스터블루, PC 온라인 게임 ‘에오스’ 동남아시아 13개국 정식 출시"
"미래에셋 Global X 클라우드 컴퓨팅 ETF, 순자산 1조원 돌파"
[특징주] 무서운 신인 ‘트레저’ 돌풍 예고에...YG ‘신고가’
"두산퓨얼셀, 도시가스 감압발전 사업모델 개발 위한 업무협약 체결"
"'뜨거운 감자' 공매도 금지 연장되나...거래소, 오늘 토론회 개최"
"두산인프라코어, 게임엔진 개발사 `유니티`와 스마트건설 솔루션 개발"
"[특징주]신풍제약·씨젠, MSCI 신규 편입에 상승세"
"[특징주] 바닥 찍은 극장株, ‘다만악·반도’ 신작 개봉에 강세"
"TCC스틸, 2차전지 원통형 캔 소재 독점 공급 ""삼성SDI·LG화학 납품"""
"[fn오전시황] 코스피, '동학 개미' 매수에 강세 지속"
"우리기술 ""해상풍력 100배 성장할 것…초대형 설치선 최초 국산화로 선점"""
"우리기술, 해상풍력 전문기업 '씨지오' 계열사 편입"
"[특징주]'젝시믹스' 브랜드엑스코퍼레이션, 상장 첫날 하락…공모가 하회"
"오파스넷, 2분기 역대 최대 영업익 달성...흑자전환"
"유니셈, 2분기 영업익 98억원…전년比 204.9%↑"
"[공시+] 트루윈, 2분기 영업이익 19억… “흑자 전환 성공”"
"에이치엘비, 간암 치료제 임상 3상 승인에 20% 급등"
